
,"Brasil","Argentina","Peru","Guyana","French Guiana","Uruguay","Bolivia","Ecuador","Venezuela","Suriname","Paraguay","Chile","Colombia"
"Brasil","0","1","1","1","1","1","1","0","1","1","1","0","1"
"Argentina","1","0","0","0","0","1","1","0","0","0","1","1","0"
"Peru","1","0","0","0","0","0","1","1","0","0","0","1","1"
"Guyana","1","0","0","0","0","0","0","0","1","1","0","0","0"
"French Guiana","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Uruguay","1","1","0","0","0","0","0","0","0","0","0","0","0"
"Bolivia","1","1","1","0","0","0","0","0","0","0","1","1","0"
"Ecuador","0","0","1","0","0","0","0","0","0","0","0","0","1"
"Venezuela","1","0","0","1","0","0","0","0","0","0","0","0","1"
"Suriname","1","0","0","1","1","0","0","0","0","0","0","0","0"
"Paraguay","1","1","0","0","0","0","1","0","0","0","0","0","0"
"Chile","0","1","1","0","0","0","1","0","0","0","0","0","0"
"Colombia","1","0","1","0","0","0","0","1","1","0","0","0","0"
